"","x"
"1",8.18122822960947
"2",7.77374393626569
"3",10.3558176727485
"4",3.00536074991427
"5",6.880860111422
"6",5.18799210643637
"7",6.78366329945947
"8",11.0695639471635
"9",11.3157440913784
"10",3.31808877537209
"11",1.46710653412396
"12",10.8934020795916
"13",4.83429344951293
"14",3.55850110926378
"15",11.9781981846458
"16",6.07312698456723
"17",6.14764735498175
"18",22.0179885776678
"19",8.15055860464632
"20",10.0026355676778
"21",3.48413621828857
"22",4.74880047289475
"23",9.68361378661174
"24",30.5513438527399
"25",3.50476059638178
"26",8.28716409783022
"27",9.93898946381318
"28",13.5893007489507
"29",6.02883005199784
"30",4.89896211306264
"31",3.40833159302338
"32",11.7387298328359
"33",5.26348721387308
"34",4.04285978070971
"35",7.58513226958903
"36",3.29612040171359
"37",3.81247066017816
"38",2.85363271467577
"39",5.81279204122606
"40",7.86103766093029
"41",5.37288589783949
"42",9.81952289066425
"43",4.47862760678104
"44",5.97136642824495
"45",7.60870813086049
"46",6.82202195757781
"47",4.84302586086068
"48",7.81156344012434
"49",8.96745031907204
"50",7.89402334208279
"51",12.3999828815702
"52",8.86698333572165
"53",5.09914682810386
"54",16.0097039898365
"55",4.24652719234933
"56",5.32936893985992
"57",2.63430654499088
"58",5.12581688813889
"59",3.64975263575947
"60",2.45835120717592
"61",16.6923388608105
"62",2.13352677688142
"63",8.10343855656393
"64",5.57934064102719
"65",5.49651466091962
"66",4.98768521693551
"67",6.00089271296826
"68",6.06352943271892
"69",8.29119121258049
"70",11.3573700340745
"71",7.74818090847746
"72",5.85008922478135
"73",8.67559544509328
"74",14.0140385215436
"75",10.8305375321132
"76",7.85446511310014
"77",10.3797507611091
"78",11.796478672529
"79",5.92622489278915
"80",4.5109711366702
"81",5.28225384534143
"82",16.255490754634
"83",13.004704636902
"84",10.2907861172513
"85",7.9252007646278
"86",15.8559772187033
"87",14.0074685516234
"88",17.6065684230985
"89",7.0259302256802
"90",12.0763340867219
"91",6.67341792914503
"92",11.1349277638052
"93",2.8525090487442
"94",1.54485747566042
"95",19.5277503722
"96",17.5862273634596
"97",9.35404306222759
"98",22.3270363289499
"99",26.7816662587064
"100",5.2517164432608
"101",16.5598611952354
"102",9.69826661008862
