   K    	  n/K   	Asymptotic Efficient
    18  	   265  	        True        
    18  	   266  	        True        
    18  	   267  	        True        
    18  	   268  	        True        
    18  	   269  	        True        
    18  	   270  	        True        
    18  	   271  	        True        
    18  	   272  	        True        
    18  	   273  	        True        
    18  	   274  	        True        
    18  	   275  	        True        
    18  	   276  	        True        
    18  	   277  	        True        
    17  	   278  	        True        
    17  	   279  	        True        
    17  	   280  	        True        
    17  	   281  	        True        
    17  	   282  	        True        
    17  	   283  	        True        
    17  	   284  	        True        
    17  	   285  	        True        
    17  	   286  	        True        
    17  	   287  	        True        
    17  	   288  	        True        
    17  	   289  	        True        
    17  	   290  	        True        
    17  	   291  	        True        
    17  	   292  	        True        
    17  	   293  	        True        
    17  	   294  	        True        
    16  	   295  	        True        
    16  	   296  	        True        
    16  	   297  	        True        
    16  	   298  	        True        
    16  	   299  	        True        
    16  	   300  	        True        
    16  	   301  	        True        
    16  	   302  	        True        
    16  	   303  	        True        
    16  	   304  	        True        
    16  	   305  	        True        
    16  	   306  	        True        
    16  	   307  	        True        
    16  	   308  	        True        
    16  	   309  	        True        
    16  	   310  	        True        
    16  	   311  	        True        
    16  	   312  	        True        
    15  	   313  	        True        
    15  	   314  	        True        
    15  	   315  	        True        
    15  	   316  	        True        
    15  	   317  	        True        
    15  	   318  	        True        
    15  	   319  	        True        
    15  	   320  	        True        
    15  	   321  	        True        
    15  	   322  	        True        
    15  	   323  	        True        
    15  	   324  	        True        
    15  	   325  	        True        
    15  	   326  	        True        
    15  	   327  	        True        
    15  	   328  	        True        
    15  	   329  	        True        
    15  	   330  	        True        
    15  	   331  	        True        
    15  	   332  	        True        
    15  	   333  	        True        
    14  	   334  	        True        
    14  	   335  	        True        
    14  	   336  	        True        
    14  	   337  	        True        
    14  	   338  	        True        
    14  	   339  	        True        
    14  	   340  	        True        
    14  	   341  	        True        
    14  	   342  	        True        
    14  	   343  	        True        
    14  	   344  	        True        
    14  	   345  	        True        
    14  	   346  	        True        
    14  	   347  	        True        
    14  	   348  	        True        
    14  	   349  	        True        
    14  	   350  	        True        
    14  	   351  	        True        
    14  	   352  	        True        
    14  	   353  	        True        
    14  	   354  	        True        
    14  	   355  	        True        
    14  	   356  	        True        
    14  	   357  	        True        
    13  	   358  	        True        
    13  	   359  	        True        
    13  	   360  	        True        
    13  	   361  	        True        
    13  	   362  	        True        
    13  	   363  	        True        
    13  	   364  	        True        
    13  	   365  	        True        
    13  	   366  	        True        
    13  	   367  	        True        
    13  	   368  	        True        
    13  	   369  	        True        
    13  	   370  	        True        
    13  	   371  	        True        
    13  	   372  	        True        
    13  	   373  	        True        
    13  	   374  	        True        
    13  	   375  	        True        
    13  	   376  	        True        
    13  	   377  	        True        
    13  	   378  	        True        
    13  	   379  	        True        
    13  	   380  	        True        
    13  	   381  	        True        
    13  	   382  	        True        
    13  	   383  	        True        
    13  	   384  	        True        
    12  	   385  	        True        
    12  	   386  	        True        
    12  	   387  	        True        
    12  	   388  	        True        
    12  	   389  	        True        
    12  	   390  	        True        
    12  	   391  	        True        
    12  	   392  	        True        
    12  	   393  	        True        
    12  	   394  	        True        
    12  	   395  	        True        
    12  	   396  	        True        
    12  	   397  	        True        
    12  	   398  	        True        
    12  	   399  	        True        
    12  	   400  	        True        
    12  	   401  	        True        
    12  	   402  	        True        
    12  	   403  	        True        
    12  	   404  	        True        
    12  	   405  	        True        
    12  	   406  	        True        
    12  	   407  	        True        
    12  	   408  	        True        
    12  	   409  	        True        
    12  	   410  	        True        
    12  	   411  	        True        
    12  	   412  	        True        
    12  	   413  	        True        
    12  	   414  	        True        
    12  	   415  	        True        
    12  	   416  	        True        
    11  	   417  	        True        
    11  	   418  	        True        
    11  	   419  	        True        
    11  	   420  	        True        
    11  	   421  	        True        
    11  	   422  	        True        
    11  	   423  	        True        
    11  	   424  	        True        
    11  	   425  	        True        
    11  	   426  	        True        
    11  	   427  	        True        
    11  	   428  	        True        
    11  	   429  	        True        
    11  	   430  	        True        
    11  	   431  	        True        
    11  	   432  	        True        
    11  	   433  	        True        
    11  	   434  	        True        
    11  	   435  	        True        
    11  	   436  	        True        
    11  	   437  	        True        
    11  	   438  	        True        
    11  	   439  	        True        
    11  	   440  	        True        
    11  	   441  	        True        
    11  	   442  	        True        
    11  	   443  	        True        
    11  	   444  	        True        
    11  	   445  	        True        
    11  	   446  	        True        
    11  	   447  	        True        
    11  	   448  	        True        
    11  	   449  	        True        
    11  	   450  	        True        
    11  	   451  	        True        
    11  	   452  	        True        
    11  	   453  	        True        
    11  	   454  	        True        
    10  	   455  	        True        
    10  	   456  	        True        
    10  	   457  	        True        
    10  	   458  	        True        
    10  	   459  	        True        
    10  	   460  	        True        
    10  	   461  	        True        
    10  	   462  	        True        
    10  	   463  	        True        
    10  	   464  	        True        
    10  	   465  	        True        
    10  	   466  	        True        
    10  	   467  	        True        
    10  	   468  	        True        
    10  	   469  	        True        
    10  	   470  	        True        
    10  	   471  	        True        
    10  	   472  	        True        
    10  	   473  	        True        
    10  	   474  	        True        
    10  	   475  	        True        
    10  	   476  	        True        
    10  	   477  	        True        
    10  	   478  	        True        
    10  	   479  	        True        
    10  	   480  	        True        
    10  	   481  	        True        
    10  	   482  	        True        
    10  	   483  	        True        
    10  	   484  	        True        
    10  	   485  	        True        
    10  	   486  	        True        
    10  	   487  	        True        
    10  	   488  	        True        
    10  	   489  	        True        
    10  	   490  	        True        
    10  	   491  	        True        
    10  	   492  	        True        
    10  	   493  	        True        
    10  	   494  	        True        
    10  	   495  	        True        
    10  	   496  	        True        
    10  	   497  	        True        
    10  	   498  	        True        
    10  	   499  	        True        
    10  	   500  	        True        
     9  	   501  	        True        
     9  	   502  	        True        
     9  	   503  	        True        
     9  	   504  	        True        
     9  	   505  	        True        
     9  	   506  	        True        
     9  	   507  	        True        
     9  	   508  	        True        
     9  	   509  	        True        
     9  	   510  	        True        
     9  	   511  	        True        
     9  	   512  	        True        
     9  	   513  	        True        
     9  	   514  	        True        
     9  	   515  	        True        
     9  	   516  	        True        
     9  	   517  	        True        
     9  	   518  	        True        
     9  	   519  	        True        
     9  	   520  	        True        
     9  	   521  	        True        
     9  	   522  	        True        
     9  	   523  	        True        
     9  	   524  	        True        
     9  	   525  	        True        
     9  	   526  	        True        
     9  	   527  	        True        
     9  	   528  	        True        
     9  	   529  	        True        
     9  	   530  	        True        
     9  	   531  	        True        
     9  	   532  	        True        
     9  	   533  	        True        
     9  	   534  	        True        
     9  	   535  	        True        
     9  	   536  	        True        
     9  	   537  	        True        
     9  	   538  	        True        
     9  	   539  	        True        
     9  	   540  	        True        
     9  	   541  	        True        
     9  	   542  	        True        
     9  	   543  	        True        
     9  	   544  	        True        
     9  	   545  	        True        
     9  	   546  	        True        
     9  	   547  	        True        
     9  	   548  	        True        
     9  	   549  	        True        
     9  	   550  	        True        
     9  	   551  	        True        
     9  	   552  	        True        
     9  	   553  	        True        
     9  	   554  	        True        
     9  	   555  	        True        
     8  	   556  	        True        
     8  	   557  	        True        
     8  	   558  	        True        
     8  	   559  	        True        
     8  	   560  	        True        
     8  	   561  	        True        
     8  	   562  	        True        
     8  	   563  	        True        
     8  	   564  	        True        
     8  	   565  	        True        
     8  	   566  	        True        
     8  	   567  	        True        
     8  	   568  	        True        
     8  	   569  	        True        
     8  	   570  	        True        
     8  	   571  	        True        
     8  	   572  	        True        
     8  	   573  	        True        
     8  	   574  	        True        
     8  	   575  	        True        
     8  	   576  	        True        
     8  	   577  	        True        
     8  	   578  	        True        
     8  	   579  	        True        
     8  	   580  	        True        
     8  	   581  	        True        
     8  	   582  	        True        
     8  	   583  	        True        
     8  	   584  	        True        
     8  	   585  	        True        
     8  	   586  	        True        
     8  	   587  	        True        
     8  	   588  	        True        
     8  	   589  	        True        
     8  	   590  	        True        
     8  	   591  	        True        
     8  	   592  	        True        
     8  	   593  	        True        
     8  	   594  	        True        
     8  	   595  	        True        
     8  	   596  	        True        
     8  	   597  	        True        
     8  	   598  	        True        
     8  	   599  	        True        
     8  	   600  	        True        
     8  	   601  	        True        
     8  	   602  	        True        
     8  	   603  	        True        
     8  	   604  	        True        
     8  	   605  	        True        
     8  	   606  	        True        
     8  	   607  	        True        
     8  	   608  	        True        
     8  	   609  	        True        
     8  	   610  	        True        
     8  	   611  	        True        
     8  	   612  	        True        
     8  	   613  	        True        
     8  	   614  	        True        
     8  	   615  	        True        
     8  	   616  	        True        
     8  	   617  	        True        
     8  	   618  	        True        
     8  	   619  	        True        
     8  	   620  	        True        
     8  	   621  	        True        
     8  	   622  	        True        
     8  	   623  	        True        
     8  	   624  	        True        
     8  	   625  	        True        
     7  	   626  	        True        
     7  	   627  	        True        
     7  	   628  	        True        
     7  	   629  	        True        
     7  	   630  	        True        
     7  	   631  	        True        
     7  	   632  	        True        
     7  	   633  	        True        
     7  	   634  	        True        
     7  	   635  	        True        
     7  	   636  	        True        
     7  	   637  	        True        
     7  	   638  	        True        
     7  	   639  	        True        
     7  	   640  	        True        
     7  	   641  	        True        
     7  	   642  	        True        
     7  	   643  	        True        
     7  	   644  	        True        
     7  	   645  	        True        
     7  	   646  	        True        
     7  	   647  	        True        
     7  	   648  	        True        
     7  	   649  	        True        
     7  	   650  	        True        
     7  	   651  	        True        
     7  	   652  	        True        
     7  	   653  	        True        
     7  	   654  	        True        
     7  	   655  	        True        
     7  	   656  	        True        
     7  	   657  	        True        
     7  	   658  	        True        
     7  	   659  	        True        
     7  	   660  	        True        
     7  	   661  	        True        
     7  	   662  	        True        
     7  	   663  	        True        
     7  	   664  	        True        
     7  	   665  	        True        
     7  	   666  	        True        
     7  	   667  	        True        
     7  	   668  	        True        
     7  	   669  	        True        
     7  	   670  	        True        
     7  	   671  	        True        
     7  	   672  	        True        
     7  	   673  	        True        
     7  	   674  	        True        
     7  	   675  	        True        
     7  	   676  	        True        
     7  	   677  	        True        
     7  	   678  	        True        
     7  	   679  	        True        
     7  	   680  	        True        
     7  	   681  	        True        
     7  	   682  	        True        
     7  	   683  	        True        
     7  	   684  	        True        
     7  	   685  	        True        
     7  	   686  	        True        
     7  	   687  	        True        
     7  	   688  	        True        
     7  	   689  	        True        
     7  	   690  	        True        
     7  	   691  	        True        
     7  	   692  	        True        
     7  	   693  	        True        
     7  	   694  	        True        
     7  	   695  	        True        
     7  	   696  	        True        
     7  	   697  	        True        
     7  	   698  	        True        
     7  	   699  	        True        
     7  	   700  	        True        
     7  	   701  	        True        
     7  	   702  	        True        
     7  	   703  	        True        
     7  	   704  	        True        
     7  	   705  	        True        
     7  	   706  	        True        
     7  	   707  	        True        
     7  	   708  	        True        
     7  	   709  	        True        
     7  	   710  	        True        
     7  	   711  	        True        
     7  	   712  	        True        
     7  	   713  	        True        
     7  	   714  	        True        
     6  	   715  	        True        
     6  	   716  	        True        
     6  	   717  	        True        
     6  	   718  	        True        
     6  	   719  	        True        
     6  	   720  	        True        
     6  	   721  	        True        
     6  	   722  	        True        
     6  	   723  	        True        
     6  	   724  	        True        
     6  	   725  	        True        
     6  	   726  	        True        
     6  	   727  	        True        
     6  	   728  	        True        
     6  	   729  	        True        
     6  	   730  	        True        
     6  	   731  	        True        
     6  	   732  	        True        
     6  	   733  	        True        
     6  	   734  	        True        
     6  	   735  	        True        
     6  	   736  	        True        
     6  	   737  	        True        
     6  	   738  	        True        
     6  	   739  	        True        
     6  	   740  	        True        
     6  	   741  	        True        
     6  	   742  	        True        
     6  	   743  	        True        
     6  	   744  	        True        
     6  	   745  	        True        
     6  	   746  	        True        
     6  	   747  	        True        
     6  	   748  	        True        
     6  	   749  	        True        
     6  	   750  	        True        
     6  	   751  	        True        
     6  	   752  	        True        
     6  	   753  	        True        
     6  	   754  	        True        
     6  	   755  	        True        
     6  	   756  	        True        
     6  	   757  	        True        
     6  	   758  	        True        
     6  	   759  	        True        
     6  	   760  	        True        
     6  	   761  	        True        
     6  	   762  	        True        
     6  	   763  	        True        
     6  	   764  	        True        
     6  	   765  	        True        
     6  	   766  	        True        
     6  	   767  	        True        
     6  	   768  	        True        
     6  	   769  	        True        
     6  	   770  	        True        
     6  	   771  	        True        
     6  	   772  	        True        
     6  	   773  	        True        
     6  	   774  	        True        
     6  	   775  	        True        
     6  	   776  	        True        
     6  	   777  	        True        
     6  	   778  	        True        
     6  	   779  	        True        
     6  	   780  	        True        
     6  	   781  	        True        
     6  	   782  	        True        
     6  	   783  	        True        
     6  	   784  	        True        
     6  	   785  	        True        
     6  	   786  	        True        
     6  	   787  	        True        
     6  	   788  	        True        
     6  	   789  	        True        
     6  	   790  	        True        
     6  	   791  	        True        
     6  	   792  	        True        
     6  	   793  	        True        
     6  	   794  	        True        
     6  	   795  	        True        
     6  	   796  	        True        
     6  	   797  	        True        
     6  	   798  	        True        
     6  	   799  	        True        
     6  	   800  	        True        
     6  	   801  	        True        
     6  	   802  	        True        
     6  	   803  	        True        
     6  	   804  	        True        
     6  	   805  	        True        
     6  	   806  	        True        
     6  	   807  	        True        
     6  	   808  	        True        
     6  	   809  	        True        
     6  	   810  	        True        
     6  	   811  	        True        
     6  	   812  	        True        
     6  	   813  	        True        
     6  	   814  	        True        
     6  	   815  	        True        
     6  	   816  	        True        
     6  	   817  	        True        
     6  	   818  	        True        
     6  	   819  	        True        
     6  	   820  	        True        
     6  	   821  	        True        
     6  	   822  	        True        
     6  	   823  	        True        
     6  	   824  	        True        
     6  	   825  	        True        
     6  	   826  	        True        
     6  	   827  	        True        
     6  	   828  	        True        
     6  	   829  	        True        
     6  	   830  	        True        
     6  	   831  	        True        
     6  	   832  	        True        
     6  	   833  	        True        
     5  	   834  	        True        
     5  	   835  	        True        
     5  	   836  	        True        
     5  	   837  	        True        
     5  	   838  	        True        
     5  	   839  	        True        
     5  	   840  	        True        
     5  	   841  	        True        
     5  	   842  	        True        
     5  	   843  	        True        
     5  	   844  	        True        
     5  	   845  	        True        
     5  	   846  	        True        
     5  	   847  	        True        
     5  	   848  	        True        
     5  	   849  	        True        
     5  	   850  	        True        
     5  	   851  	        True        
     5  	   852  	        True        
     5  	   853  	        True        
     5  	   854  	        True        
     5  	   855  	        True        
     5  	   856  	        True        
     5  	   857  	        True        
     5  	   858  	        True        
     5  	   859  	        True        
     5  	   860  	        True        
     5  	   861  	        True        
     5  	   862  	        True        
     5  	   863  	        True        
     5  	   864  	        True        
     5  	   865  	        True        
     5  	   866  	        True        
     5  	   867  	        True        
     5  	   868  	        True        
     5  	   869  	        True        
     5  	   870  	        True        
     5  	   871  	        True        
     5  	   872  	        True        
     5  	   873  	        True        
     5  	   874  	        True        
     5  	   875  	        True        
     5  	   876  	        True        
     5  	   877  	        True        
     5  	   878  	        True        
     5  	   879  	        True        
     5  	   880  	        True        
     5  	   881  	        True        
     5  	   882  	        True        
     5  	   883  	        True        
     5  	   884  	        True        
     5  	   885  	        True        
     5  	   886  	        True        
     5  	   887  	        True        
     5  	   888  	        True        
     5  	   889  	        True        
     5  	   890  	        True        
     5  	   891  	        True        
     5  	   892  	        True        
     5  	   893  	        True        
     5  	   894  	        True        
     5  	   895  	        True        
     5  	   896  	        True        
     5  	   897  	        True        
     5  	   898  	        True        
     5  	   899  	        True        
     5  	   900  	        True        
     5  	   901  	        True        
     5  	   902  	        True        
     5  	   903  	        True        
     5  	   904  	        True        
     5  	   905  	        True        
     5  	   906  	        True        
     5  	   907  	        True        
     5  	   908  	        True        
     5  	   909  	        True        
     5  	   910  	        True        
     5  	   911  	        True        
     5  	   912  	        True        
     5  	   913  	        True        
     5  	   914  	        True        
     5  	   915  	        True        
     5  	   916  	        True        
     5  	   917  	        True        
     5  	   918  	        True        
     5  	   919  	        True        
     5  	   920  	        True        
     5  	   921  	        True        
     5  	   922  	        True        
     5  	   923  	        True        
     5  	   924  	        True        
     5  	   925  	        True        
     5  	   926  	        True        
     5  	   927  	        True        
     5  	   928  	        True        
     5  	   929  	        True        
     5  	   930  	        True        
     5  	   931  	        True        
     5  	   932  	        True        
     5  	   933  	        True        
     5  	   934  	        True        
     5  	   935  	        True        
     5  	   936  	        True        
     5  	   937  	        True        
     5  	   938  	        True        
     5  	   939  	        True        
     5  	   940  	        True        
     5  	   941  	        True        
     5  	   942  	        True        
     5  	   943  	        True        
     5  	   944  	        True        
     5  	   945  	        True        
     5  	   946  	        True        
     5  	   947  	        True        
     5  	   948  	        True        
     5  	   949  	        True        
     5  	   950  	        True        
     5  	   951  	        True        
     5  	   952  	        True        
     5  	   953  	        True        
     5  	   954  	        True        
     5  	   955  	        True        
     5  	   956  	        True        
     5  	   957  	        True        
     5  	   958  	        True        
     5  	   959  	        True        
     5  	   960  	        True        
     5  	   961  	        True        
     5  	   962  	        True        
     5  	   963  	        True        
     5  	   964  	        True        
     5  	   965  	        True        
     5  	   966  	        True        
     5  	   967  	        True        
     5  	   968  	        True        
     5  	   969  	        True        
     5  	   970  	        True        
     5  	   971  	        True        
     5  	   972  	        True        
     5  	   973  	        True        
     5  	   974  	        True        
     5  	   975  	        True        
     5  	   976  	        True        
     5  	   977  	        True        
     5  	   978  	        True        
     5  	   979  	        True        
     5  	   980  	        True        
     5  	   981  	        True        
     5  	   982  	        True        
     5  	   983  	        True        
     5  	   984  	        True        
     5  	   985  	        True        
     5  	   986  	        True        
     5  	   987  	        True        
     5  	   988  	        True        
     5  	   989  	        True        
     5  	   990  	        True        
     5  	   991  	        True        
     5  	   992  	        True        
     5  	   993  	        True        
     5  	   994  	        True        
     5  	   995  	        True        
     5  	   996  	        True        
     5  	   997  	        True        
     5  	   998  	        True        
     5  	   999  	        True        
     5  	  1000  	        True        
     4  	  1001  	        True        
     4  	  1002  	        True        
     4  	  1003  	        True        
     4  	  1004  	        True        
     4  	  1005  	        True        
     4  	  1006  	        True        
     4  	  1007  	        True        
     4  	  1008  	        True        
     4  	  1009  	        True        
     4  	  1010  	        True        
     4  	  1011  	        True        
     4  	  1012  	        True        
     4  	  1013  	        True        
     4  	  1014  	        True        
     4  	  1015  	        True        
     4  	  1016  	        True        
     4  	  1017  	        True        
     4  	  1018  	        True        
     4  	  1019  	        True        
     4  	  1020  	        True        
     4  	  1021  	        True        
     4  	  1022  	        True        
     4  	  1023  	        True        
     4  	  1024  	        True        
     4  	  1025  	        True        
     4  	  1026  	        True        
     4  	  1027  	        True        
     4  	  1028  	        True        
     4  	  1029  	        True        
     4  	  1030  	        True        
     4  	  1031  	        True        
     4  	  1032  	        True        
     4  	  1033  	        True        
     4  	  1034  	        True        
     4  	  1035  	        True        
     4  	  1036  	        True        
     4  	  1037  	        True        
     4  	  1038  	        True        
     4  	  1039  	        True        
     4  	  1040  	        True        
     4  	  1041  	        True        
     4  	  1042  	        True        
     4  	  1043  	        True        
     4  	  1044  	        True        
     4  	  1045  	        True        
     4  	  1046  	        True        
     4  	  1047  	        True        
     4  	  1048  	        True        
     4  	  1049  	        True        
     4  	  1050  	        True        
     4  	  1051  	        True        
     4  	  1052  	        True        
     4  	  1053  	        True        
     4  	  1054  	        True        
     4  	  1055  	        True        
     4  	  1056  	        True        
     4  	  1057  	        True        
     4  	  1058  	        True        
     4  	  1059  	        True        
     4  	  1060  	        True        
     4  	  1061  	        True        
     4  	  1062  	        True        
     4  	  1063  	        True        
     4  	  1064  	        True        
     4  	  1065  	        True        
     4  	  1066  	        True        
     4  	  1067  	        True        
     4  	  1068  	        True        
     4  	  1069  	        True        
     4  	  1070  	        True        
     4  	  1071  	        True        
     4  	  1072  	        True        
     4  	  1073  	        True        
     4  	  1074  	        True        
     4  	  1075  	        True        
     4  	  1076  	        True        
     4  	  1077  	        True        
     4  	  1078  	        True        
     4  	  1079  	        True        
     4  	  1080  	        True        
     4  	  1081  	        True        
     4  	  1082  	        True        
     4  	  1083  	        True        
     4  	  1084  	        True        
     4  	  1085  	        True        
     4  	  1086  	        True        
     4  	  1087  	        True        
     4  	  1088  	        True        
     4  	  1089  	        True        
     4  	  1090  	        True        
     4  	  1091  	        True        
     4  	  1092  	        True        
     4  	  1093  	        True        
     4  	  1094  	        True        
     4  	  1095  	        True        
     4  	  1096  	        True        
     4  	  1097  	        True        
     4  	  1098  	        True        
     4  	  1099  	        True        
     4  	  1100  	        True        
     4  	  1101  	        True        
     4  	  1102  	        True        
     4  	  1103  	        True        
     4  	  1104  	        True        
     4  	  1105  	        True        
     4  	  1106  	        True        
     4  	  1107  	        True        
     4  	  1108  	        True        
     4  	  1109  	        True        
     4  	  1110  	        True        
     4  	  1111  	        True        
     4  	  1112  	        True        
     4  	  1113  	        True        
     4  	  1114  	        True        
     4  	  1115  	        True        
     4  	  1116  	        True        
     4  	  1117  	        True        
     4  	  1118  	        True        
     4  	  1119  	        True        
     4  	  1120  	        True        
     4  	  1121  	        True        
     4  	  1122  	        True        
     4  	  1123  	        True        
     4  	  1124  	        True        
     4  	  1125  	        True        
     4  	  1126  	        True        
     4  	  1127  	        True        
     4  	  1128  	        True        
     4  	  1129  	        True        
     4  	  1130  	        True        
     4  	  1131  	        True        
     4  	  1132  	        True        
     4  	  1133  	        True        
     4  	  1134  	        True        
     4  	  1135  	        True        
     4  	  1136  	        True        
     4  	  1137  	        True        
     4  	  1138  	        True        
     4  	  1139  	        True        
     4  	  1140  	        True        
     4  	  1141  	        True        
     4  	  1142  	        True        
     4  	  1143  	        True        
     4  	  1144  	        True        
     4  	  1145  	        True        
     4  	  1146  	        True        
     4  	  1147  	        True        
     4  	  1148  	        True        
     4  	  1149  	        True        
     4  	  1150  	        True        
